college,department,href
College of Liberal Arts and Sciences,College of Liberal Arts and Sciences Non-departmental Courses,/my-ui/courses/by-department.page?search=&_ticket=wAjxxAEvAo5w00t5-7oaZvS14lRMWZ5v&q.academicUnitId=409
College of Liberal Arts and Sciences,African American Studies,/my-ui/courses/by-department.page?search=&_ticket=QaD0g80mB51w00t5-7oaZvS14lRMWZ5v&q.academicUnitId=532
College of Liberal Arts and Sciences,American Indian and Native Studies Program,/my-ui/courses/by-department.page?search=&_ticket=ZPkZlU_8sS1w00t5-7oaZvS14lRMWZ5v&q.academicUnitId=518
College of Liberal Arts and Sciences,American Studies,/my-ui/courses/by-department.page?search=&_ticket=70hbi010nm1w00t5-7oaZvxrZxWWA5Tu&q.academicUnitId=534
College of Liberal Arts and Sciences,Anthropology,/my-ui/courses/by-department.page?search=&_ticket=fd77Ws3wtnpw00t5-7oaZvxrZxWWA5Tu&q.academicUnitId=535
College of Liberal Arts and Sciences,Arabic Language and Literature,/my-ui/courses/by-department.page?search=&_ticket=Qtc2qNxVKbZw00t5-7oaZvxrZxWWA5Tu&q.academicUnitId=649
College of Liberal Arts and Sciences,School of Art and Art History,/my-ui/courses/by-department.page?search=&_ticket=dtUMNcBMv5hw00t5-7oaZvxrZxWWA5Tu&q.academicUnitId=562
College of Liberal Arts and Sciences,Asian & Slavic Languages and Literatures,/my-ui/courses/by-department.page?search=&_ticket=jIwcPtYPy5Rw00t5-7oaZvxrZxWWA5Tu&q.academicUnitId=536
College of Liberal Arts and Sciences,American Sign Language,/my-ui/courses/by-department.page?search=&_ticket=w4_h6x4HyP1w00t5-7oaZvxrZxWWA5Tu&q.academicUnitId=533
College of Liberal Arts and Sciences,Aging and Longevity Studies Program,/my-ui/courses/by-department.page?search=&_ticket=dvLCaFj0YZRw00t5-7oaZvxrZxWWA5Tu&q.academicUnitId=517
College of Liberal Arts and Sciences,Biology,/my-ui/courses/by-department.page?search=&_ticket=OnXGIhYGS3Jw00t5-7oaZvxrZxWWA5Tu&q.academicUnitId=537
College of Liberal Arts and Sciences,Critical Cultural Competence Certificate Program,/my-ui/courses/by-department.page?search=&_ticket=upJzI9H_AcVw00t5-7oaZvxrZxWWA5Tu&q.academicUnitId=671
College of Liberal Arts and Sciences,Cinematic Arts,/my-ui/courses/by-department.page?search=&_ticket=t8OuJ6Nt0b9w00t5-7oaZvxrZxWWA5Tu&q.academicUnitId=527
College of Liberal Arts and Sciences,Chemistry,/my-ui/courses/by-department.page?search=&_ticket=ijZgLAGmAkhw00t5-7oaZvxrZxWWA5Tu&q.academicUnitId=538
